elapse (ns), size, refs/vals, permutation, type, i
59000,1, refs, rand, Flow,0
61000,2, refs, rand, Native,0
62000,1, refs, rand, Flow,0
65000,4, refs, linear, Native,0
66000,1, refs, rand, Flow,0
66000,1, refs, rand, Flow,0
67000,1, refs, rand, Flow,0
67000,1, refs, rand, Native,0
67000,2, refs, linear, Native,0
71000,1, refs, rand, Flow,0
72000,2, refs, linear, Native,0
73000,1, refs, rand, Native,0
74000,2, refs, linear, Flow,0
74000,2, refs, rand, Native,0
75000,2, refs, linear, Native,0
75000,2, refs, rand, Native,0
75000,2, refs, rand, Flow,0
75000,1, refs, rand, Native,0
76000,2, refs, linear, Native,0
77000,1, refs, rand, Native,0
80000,1, refs, rand, Native,0
80000,4, refs, linear, Native,0
80000,4, refs, linear, Native,0
80000,4, refs, rand, Native,0
80000,4, refs, rand, Native,0
81000,4, refs, rand, Native,0
81000,2, refs, linear, Native,0
82000,4, refs, linear, Native,0
84000,1, refs, rand, Synth,0
84000,1, refs, rand, Native,0
84000,1, refs, rand, Stencil-Flow,0
85000,1, refs, rand, Synth,0
85000,2, refs, linear, Native,0
85000,2, refs, rand, Native,0
85000,1, refs, rand, Synth,0
86000,2, refs, linear, Flow,0
86000,2, refs, linear, Flow,0
87000,2, refs, linear, Flow,0
88000,4, refs, linear, Flow,0
89000,2, refs, linear, Flow,0
90000,4, refs, linear, Native,0
91000,1, refs, rand, Synth,0
92000,1, refs, rand, Stencil-Flow,0
93000,2, refs, rand, Native,0
93000,4, refs, rand, Native,0
93000,4, refs, rand, Native,0
94000,8, refs, linear, Native,0
94000,1, refs, rand, Stencil-Flow,0
96000,4, refs, linear, Flow,0
96000,2, refs, linear, Synth,0
97000,1, refs, rand, Stencil-Flow,0
97000,2, refs, rand, Flow,0
97000,8, refs, rand, Native,0
98000,1, refs, rand, Stencil-Flow,0
99000,8, refs, linear, Native,0
100000,2, refs, linear, Synth,0
101000,16, refs, rand, Native,0
101000,1, refs, linear, Synth,0
102000,8, refs, rand, Native,0
104000,2, refs, linear, Synth,0
104000,2, refs, rand, Flow,0
104000,8, refs, linear, Native,0
104000,2, refs, rand, Flow,0
105000,2, refs, linear, Synth,0
105000,2, refs, rand, Flow,0
106000,1, refs, rand, Synth,0
108000,1, refs, rand, Stencil-State,0
109000,1, refs, rand, Stencil-State,0
109000,1, refs, rand, Stencil-Flow,0
109000,1, refs, rand, Synth,0
110000,2, refs, rand, Flow,0
111000,2, refs, rand, Stencil-State,0
112000,2, refs, linear, Flow,0
112000,8, refs, rand, Native,0
112000,4, refs, rand, Synth,0
112000,8, refs, rand, Native,0
113000,4, refs, linear, Synth,0
114000,4, refs, rand, Flow,0
114000,1, refs, rand, Stencil-State,0
114000,8, refs, linear, Native,0
115000,4, refs, linear, Flow,0
115000,4, refs, rand, Flow,0
115000,4, refs, linear, Synth,0
115000,4, refs, rand, Synth,0
116000,1, refs, rand, Stencil-State,0
116000,4, refs, linear, Synth,0
116000,4, refs, rand, Synth,0
116000,1, refs, linear, Synth,0
116000,16, refs, rand, Native,0
117000,4, refs, linear, Flow,0
118000,8, refs, rand, Native,0
118000,2, refs, rand, Native,0
119000,4, refs, linear, Native,0
119000,8, refs, linear, Synth,0
120000,16, refs, rand, Native,0
120000,4, refs, linear, Flow,0
121000,2, refs, rand, Stencil-State,0
121000,4, refs, linear, Synth,0
122000,4, refs, rand, Flow,0
122000,16, refs, rand, Native,0
122000,4, refs, rand, Flow,0
123000,4, refs, rand, Synth,0
123000,8, refs, linear, Native,0
123000,4, refs, linear, Synth,0
124000,4, refs, rand, Flow,0
125000,1, refs, linear, Synth,0
125000,1, refs, linear, Synth,0
125000,2, refs, linear, Stencil-Flow,0
126000,8, refs, rand, Native,0
126000,1, refs, rand, Stencil-State,0
127000,4, refs, rand, Native,0
127000,2, refs, linear, Stencil-State,0
128000,1, refs, linear, Synth,0
129000,1, refs, rand, Stencil-State,0
129000,2, refs, linear, Synth,0
129000,2, refs, linear, Stencil-Flow,0
129000,2, refs, rand, Stencil-State,0
130000,2, refs, linear, Synth,0
130000,2, refs, linear, Stencil-State,0
132000,2, refs, linear, Stencil-State,0
132000,1, refs, linear, Synth,0
132000,2, refs, linear, Stencil-State,0
133000,2, refs, rand, Stencil-State,0
134000,4, refs, linear, Synth,0
134000,4, refs, rand, Synth,0
135000,8, refs, linear, Native,0
136000,2, refs, rand, Stencil-State,0
136000,1, refs, linear, Stencil-Flow,0
136000,2, refs, linear, Stencil-Flow,0
137000,2, refs, linear, Stencil-State,0
138000,32, refs, linear, Native,0
138000,4, refs, rand, Flow,0
141000,32, refs, rand, Native,0
141000,1, refs, linear, Stencil-Flow,0
142000,4, refs, linear, Flow,0
142000,4, refs, rand, Synth,0
154000,2, refs, linear, Stencil-Flow,0
155000,1, refs, linear, Stencil-Flow,0
159000,4, refs, linear, Stencil-State,0
160000,2, refs, linear, Stencil-State,0
161000,32, refs, linear, Native,0
161000,16, refs, rand, Native,0
163000,8, refs, linear, Synth,0
164000,32, refs, rand, Native,0
165000,16, refs, rand, Native,0
165000,8, refs, linear, Synth,0
166000,4, refs, linear, Stencil-State,0
167000,2, refs, linear, Stencil-Flow,0
167000,4, refs, rand, Stencil-State,0
168000,32, refs, linear, Native,0
168000,4, refs, rand, Stencil-State,0
169000,8, refs, linear, Synth,0
169000,32, refs, rand, Native,0
170000,4, refs, rand, Stencil-State,0
170000,2, refs, linear, Stencil-Flow,0
171000,1, refs, linear, Stencil-Flow,0
173000,32, refs, linear, Native,0
175000,32, refs, linear, Native,0
176000,8, refs, linear, Synth,0
177000,4, refs, linear, Stencil-State,0
177000,4, refs, rand, Stencil-State,0
177000,32, refs, rand, Native,0
177000,1, refs, linear, Native,0
178000,4, refs, rand, Stencil-Flow,0
178000,4, refs, rand, Stencil-Flow,0
179000,8, refs, linear, Stencil-State,0
179000,4, refs, linear, Stencil-State,0
179000,32, refs, linear, Native,0
180000,1, refs, linear, Native,0
180000,32, refs, rand, Native,0
181000,1, refs, linear, Stencil-Flow,0
183000,4, refs, linear, Stencil-Flow,0
184000,8, refs, linear, Flow,0
184000,8, refs, rand, Flow,0
184000,8, refs, linear, Flow,0
185000,4, refs, linear, Stencil-State,0
186000,16, refs, linear, Native,0
186000,8, refs, rand, Flow,0
187000,4, refs, rand, Stencil-State,0
188000,8, refs, rand, Flow,0
188000,8, refs, linear, Flow,0
190000,1, refs, linear, Stencil-Flow,0
190000,2, refs, rand, Stencil-State,0
191000,8, refs, linear, Synth,0
194000,8, refs, linear, Flow,0
194000,8, refs, linear, Flow,0
194000,2, refs, rand, Stencil-Flow,0
196000,32, refs, rand, Native,0
196000,16, refs, linear, Native,0
197000,4, refs, linear, Stencil-Flow,0
198000,16, refs, rand, Synth,0
198000,16, refs, linear, Native,0
200000,2, refs, rand, Stencil-Flow,0
200000,1, refs, linear, Native,0
201000,4, refs, rand, Stencil-State,0
205000,16, refs, linear, Native,0
207000,4, refs, linear, Stencil-State,0
209000,2, refs, rand, Stencil-Flow,0
209000,16, refs, linear, Synth,0
210000,4, refs, rand, Stencil-Flow,0
211000,16, refs, linear, Native,0
212000,4, refs, rand, Stencil-Flow,0
213000,1, refs, linear, Native,0
213000,8, refs, linear, Flow,0
217000,64, refs, linear, Native,0
219000,64, refs, rand, Native,0
219000,4, refs, linear, Stencil-Flow,0
219000,4, refs, rand, Stencil-Flow,0
222000,4, refs, linear, Stencil-Flow,0
223000,16, refs, linear, Synth,0
225000,16, refs, linear, Native,0
228000,8, refs, rand, Flow,0
231000,4, refs, rand, Stencil-Flow,0
232000,8, refs, linear, Stencil-State,0
233000,4, refs, linear, Stencil-Flow,0
234000,1, refs, linear, Native,0
234000,4, refs, linear, Stencil-Flow,0
238000,8, refs, linear, Stencil-State,0
243000,64, refs, rand, Native,0
247000,1, refs, linear, Native,0
247000,8, refs, linear, Stencil-State,0
250000,16, refs, rand, Flow,0
250000,16, refs, rand, Flow,0
252000,8, refs, rand, Flow,0
252000,64, refs, linear, Native,0
253000,8, refs, linear, Stencil-State,0
253000,16, refs, linear, Flow,0
254000,16, refs, linear, Synth,0
255000,8, refs, linear, Stencil-State,0
255000,16, refs, linear, Synth,0
255000,16, refs, rand, Synth,0
257000,16, refs, linear, Synth,0
257000,16, refs, rand, Synth,0
258000,16, refs, rand, Synth,0
260000,64, refs, linear, Native,0
263000,64, refs, rand, Native,0
267000,16, refs, rand, Synth,0
268000,64, refs, rand, Native,0
270000,16, refs, rand, Synth,0
271000,16, refs, linear, Stencil-State,0
271000,16, refs, linear, Stencil-State,0
283000,8, refs, rand, Flow,0
286000,16, refs, linear, Synth,0
287000,64, refs, rand, Native,0
290000,64, refs, linear, Native,0
291000,16, refs, rand, Stencil-State,0
296000,64, refs, linear, Native,0
296000,16, refs, linear, Flow,0
297000,8, refs, rand, Stencil-Flow,0
299000,2, refs, rand, Stencil-Flow,0
301000,16, refs, rand, Stencil-State,0
302000,64, refs, rand, Native,0
304000,8, refs, linear, Stencil-Flow,0
308000,2, refs, rand, Stencil-Flow,0
309000,64, refs, linear, Native,0
324000,16, refs, linear, Flow,0
324000,16, refs, rand, Flow,0
329000,16, refs, linear, Flow,0
332000,16, refs, rand, Stencil-State,0
333000,16, refs, linear, Stencil-State,0
333000,16, refs, linear, Flow,0
335000,16, refs, rand, Flow,0
335000,128, refs, rand, Native,0
340000,8, refs, linear, Stencil-Flow,0
344000,16, refs, linear, Flow,0
345000,16, refs, rand, Flow,0
346000,128, refs, rand, Native,0
349000,128, refs, rand, Native,0
349000,32, refs, linear, Synth,0
351000,8, refs, rand, Stencil-Flow,0
352000,16, refs, rand, Stencil-State,0
353000,16, refs, linear, Stencil-State,0
355000,32, refs, linear, Synth,0
355000,128, refs, linear, Native,0
360000,16, refs, linear, Stencil-State,0
361000,32, refs, rand, Synth,0
364000,32, refs, linear, Synth,0
364000,16, refs, rand, Flow,0
365000,16, refs, linear, Stencil-State,0
366000,8, refs, rand, Stencil-Flow,0
370000,8, refs, rand, Stencil-Flow,0
371000,16, refs, rand, Stencil-State,0
376000,32, refs, rand, Synth,0
379000,16, refs, rand, Stencil-State,0
380000,8, refs, linear, Stencil-Flow,0
380000,8, refs, rand, Stencil-Flow,0
389000,8, refs, rand, Stencil-Flow,0
391000,2, refs, rand, Stencil-Flow,0
393000,8, refs, linear, Stencil-Flow,0
402000,8, refs, linear, Stencil-Flow,0
403000,32, refs, linear, Synth,0
413000,128, refs, rand, Native,0
419000,32, refs, linear, Synth,0
420000,32, refs, linear, Synth,0
424000,32, refs, rand, Synth,0
425000,8, refs, linear, Stencil-Flow,0
428000,32, refs, rand, Synth,0
435000,32, refs, rand, Synth,0
438000,128, refs, rand, Native,0
447000,128, refs, linear, Native,0
447000,32, refs, rand, Stencil-State,0
447000,32, refs, rand, Synth,0
457000,128, refs, linear, Native,0
457000,128, refs, linear, Native,0
459000,32, refs, rand, Flow,0
459000,128, refs, linear, Native,0
463000,128, refs, rand, Native,0
466000,32, refs, linear, Flow,0
469000,32, refs, linear, Stencil-State,0
477000,32, refs, rand, Stencil-State,0
477000,32, refs, linear, Stencil-State,0
490000,32, refs, rand, Stencil-State,0
501000,32, refs, linear, Stencil-State,0
502000,256, refs, rand, Native,0
505000,32, refs, linear, Flow,0
513000,32, refs, rand, Stencil-State,0
514000,16, refs, linear, Stencil-Flow,0
515000,16, refs, linear, Stencil-Flow,0
517000,32, refs, linear, Flow,0
519000,32, refs, linear, Stencil-State,0
522000,16, refs, rand, Stencil-Flow,0
524000,32, refs, linear, Flow,0
524000,32, refs, rand, Stencil-State,0
527000,32, refs, rand, Flow,0
528000,32, refs, rand, Flow,0
529000,32, refs, rand, Flow,0
536000,32, refs, linear, Flow,0
539000,256, refs, rand, Native,0
540000,32, refs, rand, Stencil-State,0
541000,128, refs, linear, Native,0
553000,32, refs, rand, Flow,0
559000,32, refs, rand, Flow,0
569000,256, refs, linear, Native,0
569000,256, refs, rand, Native,0
574000,32, refs, linear, Flow,0
577000,16, refs, rand, Stencil-Flow,0
582000,32, refs, linear, Stencil-State,0
585000,256, refs, rand, Native,0
586000,16, refs, linear, Stencil-Flow,0
586000,16, refs, rand, Stencil-Flow,0
586000,16, refs, rand, Stencil-Flow,0
586000,32, refs, linear, Stencil-State,0
590000,16, refs, linear, Stencil-Flow,0
597000,16, refs, rand, Stencil-Flow,0
597000,16, refs, linear, Stencil-Flow,0
600000,16, refs, linear, Stencil-Flow,0
610000,256, refs, linear, Native,0
630000,64, refs, linear, Synth,0
634000,256, refs, rand, Native,0
636000,64, refs, rand, Synth,0
639000,16, refs, rand, Stencil-Flow,0
639000,64, refs, rand, Synth,0
641000,64, refs, linear, Synth,0
642000,256, refs, linear, Native,0
645000,256, refs, rand, Native,0
648000,64, refs, linear, Synth,0
656000,64, refs, rand, Synth,0
662000,64, refs, rand, Synth,0
663000,8, refs, rand, Synth,0
674000,64, refs, rand, Synth,0
675000,256, refs, linear, Native,0
676000,64, refs, linear, Synth,0
681000,8, refs, rand, Synth,0
697000,256, refs, linear, Native,0
733000,8, refs, rand, Synth,0
734000,8, refs, rand, Synth,0
760000,64, refs, linear, Synth,0
760000,64, refs, linear, Synth,0
784000,8, refs, rand, Synth,0
790000,64, refs, linear, Stencil-State,0
794000,256, refs, linear, Native,0
805000,64, refs, rand, Synth,0
805000,8, refs, rand, Synth,0
816000,64, refs, linear, Stencil-State,0
818000,64, refs, linear, Stencil-State,0
818000,64, refs, rand, Stencil-State,0
825000,64, refs, rand, Stencil-State,0
843000,64, refs, linear, Flow,0
866000,64, refs, rand, Stencil-State,0
873000,64, refs, rand, Stencil-State,0
875000,64, refs, rand, Stencil-State,0
886000,64, refs, linear, Flow,0
886000,64, refs, rand, Stencil-State,0
890000,64, refs, linear, Stencil-State,0
892000,64, refs, linear, Stencil-State,0
900000,64, refs, linear, Flow,0
904000,64, refs, rand, Flow,0
909000,256, refs, rand, Synth,0
916000,256, refs, rand, Synth,0
933000,64, refs, linear, Flow,0
950000,64, refs, linear, Flow,0
964000,1024, refs, rand, Native,0
966000,64, refs, linear, Flow,0
970000,256, refs, rand, Synth,0
972000,32, refs, rand, Stencil-Flow,0
977000,64, refs, linear, Stencil-State,0
979000,256, refs, rand, Synth,0
983000,32, refs, linear, Stencil-Flow,0
985000,32, refs, linear, Stencil-Flow,0
989000,64, refs, rand, Flow,0
989000,64, refs, rand, Flow,0
994000,256, refs, rand, Synth,0
1015000,128, refs, rand, Synth,0
1017000,64, refs, rand, Flow,0
1020000,32, refs, linear, Stencil-Flow,0
1027000,32, refs, linear, Stencil-Flow,0
1028000,64, refs, rand, Flow,0
1029000,32, refs, rand, Stencil-Flow,0
1029000,512, refs, linear, Native,0
1031000,32, refs, linear, Stencil-Flow,0
1034000,32, refs, linear, Stencil-Flow,0
1059000,32, refs, rand, Stencil-Flow,0
1069000,1024, refs, rand, Native,0
1073000,64, refs, rand, Flow,0
1076000,128, refs, rand, Synth,0
1078000,128, refs, linear, Synth,0
1083000,32, refs, rand, Stencil-Flow,0
1086000,32, refs, rand, Stencil-Flow,0
1088000,32, refs, rand, Stencil-Flow,0
1096000,128, refs, linear, Synth,0
1096000,128, refs, rand, Synth,0
1109000,512, refs, linear, Native,0
1122000,128, refs, linear, Synth,0
1152000,512, refs, linear, Native,0
1152000,512, refs, rand, Native,0
1154000,256, refs, rand, Synth,0
1157000,128, refs, linear, Synth,0
1168000,512, refs, linear, Native,0
1168000,512, refs, rand, Native,0
1183000,512, refs, linear, Native,0
1191000,128, refs, rand, Synth,0
1192000,128, refs, rand, Synth,0
1195000,128, refs, linear, Synth,0
1246000,512, refs, rand, Native,0
1248000,512, refs, linear, Native,0
1251000,128, refs, rand, Synth,0
1273000,512, refs, rand, Native,0
1275000,512, refs, rand, Native,0
1297000,512, refs, rand, Native,0
1306000,2048, refs, rand, Native,0
1320000,2048, refs, rand, Native,0
1321000,128, refs, linear, Synth,0
1335000,1024, refs, linear, Native,0
1342000,2048, refs, rand, Native,0
1343000,2048, refs, rand, Synth,0
1351000,2048, refs, rand, Native,0
1363000,2048, refs, rand, Native,0
1370000,1024, refs, rand, Native,0
1388000,1024, refs, rand, Synth,0
1396000,128, refs, linear, Stencil-State,0
1409000,128, refs, linear, Stencil-State,0
1410000,1024, refs, linear, Native,0
1432000,1024, refs, rand, Native,0
1452000,2048, refs, rand, Synth,0
1467000,1024, refs, rand, Native,0
1478000,1024, refs, rand, Synth,0
1478000,1024, refs, rand, Native,0
1484000,128, refs, linear, Stencil-State,0
1487000,1024, refs, linear, Native,0
1502000,128, refs, linear, Stencil-State,0
1515000,512, refs, linear, Synth,0
1516000,128, refs, linear, Stencil-State,0
1521000,1024, refs, linear, Native,0
1526000,1024, refs, rand, Synth,0
1537000,1024, refs, rand, Synth,0
1555000,1024, refs, linear, Native,0
1565000,2048, refs, rand, Synth,0
1572000,128, refs, linear, Stencil-State,0
1575000,2048, refs, linear, Synth,0
1582000,512, refs, linear, Synth,0
1599000,4096, refs, linear, Native,0
1609000,512, refs, linear, Synth,0
1609000,1024, refs, linear, Native,0
1621000,1024, refs, rand, Synth,0
1632000,2048, refs, rand, Synth,0
1653000,2048, refs, rand, Stencil-Flow,0
1660000,512, refs, rand, Synth,0
1666000,512, refs, linear, Synth,0
1669000,128, refs, linear, Flow,0
1673000,512, refs, linear, Synth,0
1676000,128, refs, linear, Flow,0
1692000,512, refs, rand, Synth,0
1693000,512, refs, rand, Synth,0
1714000,512, refs, rand, Synth,0
1725000,128, refs, rand, Stencil-State,0
1730000,128, refs, rand, Stencil-State,0
1738000,128, refs, linear, Flow,0
1742000,128, refs, linear, Flow,0
1746000,512, refs, rand, Synth,0
1747000,256, refs, rand, Flow,0
1755000,1024, refs, rand, Synth,0
1761000,128, refs, linear, Flow,0
1767000,128, refs, linear, Flow,0
1774000,512, refs, rand, Stencil-State,0
1783000,512, refs, rand, Synth,0
1831000,128, refs, rand, Stencil-State,0
1839000,1024, refs, rand, Stencil-Flow,0
1841000,64, refs, linear, Stencil-Flow,0
1842000,128, refs, rand, Stencil-State,0
1851000,256, refs, rand, Flow,0
1854000,512, refs, linear, Stencil-State,0
1867000,512, refs, rand, Stencil-State,0
1867000,2048, refs, linear, Synth,0
1871000,64, refs, rand, Stencil-Flow,0
1888000,512, refs, rand, Stencil-State,0
1900000,512, refs, rand, Stencil-State,0
1901000,128, refs, rand, Stencil-State,0
1912000,512, refs, rand, Stencil-State,0
1913000,512, refs, linear, Synth,0
1915000,64, refs, rand, Stencil-Flow,0
1918000,2048, refs, rand, Flow,0
1923000,4096, refs, linear, Synth,0
1932000,64, refs, linear, Stencil-Flow,0
1934000,64, refs, rand, Stencil-Flow,0
1943000,512, refs, linear, Stencil-State,0
1951000,256, refs, rand, Flow,0
1954000,512, refs, rand, Stencil-State,0
1957000,1024, refs, rand, Stencil-Flow,0
1959000,256, refs, rand, Flow,0
1960000,2048, refs, linear, Synth,0
1966000,256, refs, rand, Flow,0
1967000,1024, refs, rand, Stencil-Flow,0
1971000,64, refs, rand, Stencil-Flow,0
1973000,1024, refs, rand, Stencil-State,0
1973000,2048, refs, rand, Native,0
1976000,64, refs, linear, Stencil-Flow,0
1979000,64, refs, linear, Stencil-Flow,0
1984000,128, refs, rand, Stencil-State,0
1992000,256, refs, rand, Flow,0
1994000,2048, refs, rand, Synth,0
1996000,1024, refs, rand, Stencil-State,0
1996000,64, refs, rand, Stencil-Flow,0
2002000,64, refs, linear, Stencil-Flow,0
2005000,64, refs, rand, Stencil-Flow,0
2007000,128, refs, rand, Flow,0
2021000,2048, refs, linear, Native,0
2032000,64, refs, linear, Stencil-Flow,0
2036000,512, refs, linear, Stencil-State,0
