Sate,Children,Adults,Elderly,Total
Alabama,200758,387890,118093,908408
Alaska,20826,29248,5484,78342
Arizona,317930,423276,138779,1261628
Arkansas,127461,271027,66646,555384
California,1721375,3138978,755814,6871035
Colorado,137958,370461,62708,627082
Connecticut,95117,193001,58454,449644
Delaware,28987,57544,16723,128639
District of Columbia,22948,82129,14551,132280
Florida,649076,1514512,490413,3065083
Georgia,419897,885720,151838,1687086
Hawaii,46330,105509,27675,197675
Idaho,51649,68866,25083,192943
Illinois,477873,862194,208595,1896321
Indiana,237922,390242,113296,944133
Iowa,91711,125515,49677,382129
Kansas,95100,130051,52833,406410
Kentucky,205086,360353,99637,830306
Louisiana,237943,402867,125476,965202
Maine,39168,81218,25544,170295
Maryland,188124,448603,93505,779212
Massachusetts,237584,549927,131780,1013690
Michigan,387669,666990,206757,1590438
Minnesota,147717,224158,74375,619790
Mississippi,194148,398697,93607,780060
Missouri,195708,317881,112909,868529
Montana,32592,57734,18158,139679
Nebraska,56784,96217,27340,227835
Nevada,89403,139835,42791,356591
New Hampshire,28263,58619,14131,117761
New Jersey,268178,786483,156437,1203362
New Mexico,103106,197685,52910,406999
New York,857072,2125538,495197,3809208
North Carolina,396483,778613,204521,1704338
North Dakota,17529,34200,10358,79678
Ohio,440145,629745,230230,1918579
Oklahoma,166214,288430,86250,663459
Oregon,149149,281891,82405,633882
Pennsylvania,413832,751302,277119,1847463
Rhode Island,32622,79045,19029,146380
South Carolina,178863,340958,100611,773928
South Dakota,23082,50438,13056,93260
Tennessee,265449,540507,168158,1201126
Texas,1334146,2347629,566427,5149335
Utah,102714,153034,26976,337194
Vermont,14908,44048,9610,73926
Virginia,214901,568061,107451,976824
Washington,214960,360598,90945,826769
West Virginia,74599,147577,44507,342365
Wisconsin,170595,413366,85298,710814
Wyoming,17378,28226,8689,66838
United States,239981,466405,122723,1004105